State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Nov 13 2021,552,1066,0
United States,Nov 12 2021,1698,1055,43
United States,Nov 11 2021,966,1036,11
United States,Nov 10 2021,1252,1070,88
United States,Nov  9 2021,1595,1098,0
United States,Nov  8 2021,1148,1075,24
United States,Nov  7 2021,253,1074,0
United States,Nov  6 2021,478,1081,0
United States,Nov  5 2021,1563,1077,55
United States,Nov  4 2021,1207,1102,0
United States,Nov  3 2021,1445,1112,-247
United States,Nov  2 2021,1433,1150,17
United States,Nov  1 2021,1142,1233,47
United States,Oct 31 2021,303,1212,0
United States,Oct 30 2021,449,1218,0
United States,Oct 29 2021,1738,1249,71
United States,Oct 28 2021,1278,1268,1
United States,Oct 27 2021,1708,1305,66
United States,Oct 26 2021,2018,1311,25
United States,Oct 25 2021,992,1287,56
United States,Oct 24 2021,344,1325,0
United States,Oct 23 2021,667,1377,0
United States,Oct 22 2021,1875,1415,77
United States,Oct 21 2021,1534,1430,0
United States,Oct 20 2021,1753,1434,78
United States,Oct 19 2021,1846,1438,1
United States,Oct 18 2021,1259,1452,1013
United States,Oct 17 2021,710,1402,13
United States,Oct 16 2021,929,1406,0
United States,Oct 15 2021,1984,1427,58
United States,Oct 14 2021,1559,1463,7
United States,Oct 13 2021,1780,1488,59
United States,Oct 12 2021,1944,1518,10
United States,Oct 11 2021,911,1534,47
United States,Oct 10 2021,741,1579,298
United States,Oct  9 2021,1074,1610,0
United States,Oct  8 2021,2236,1646,40
United States,Oct  7 2021,1734,1634,16
United States,Oct  6 2021,1989,1662,51
United States,Oct  5 2021,2055,1693,0
United States,Oct  4 2021,1227,1704,69
United States,Oct  3 2021,955,1739,24
United States,Oct  2 2021,1332,1749,0
United States,Oct  1 2021,2152,1767,42
United States,Sep 30 2021,1930,1803,34
United States,Sep 29 2021,2206,1821,50
United States,Sep 28 2021,2130,1834,22
United States,Sep 27 2021,1471,1864,447
United States,Sep 26 2021,1027,1838,27
United States,Sep 25 2021,1457,1861,0
United States,Sep 24 2021,2400,1885,61
United States,Sep 23 2021,2061,1870,24
United States,Sep 22 2021,2297,1873,70
United States,Sep 21 2021,2335,1887,9
United States,Sep 20 2021,1292,1901,52
United States,Sep 19 2021,1188,1901,33
United States,Sep 18 2021,1623,1895,0
United States,Sep 17 2021,2294,1915,37
United States,Sep 16 2021,2083,1909,25
United States,Sep 15 2021,2397,1933,108
United States,Sep 14 2021,2432,1887,5
United States,Sep 13 2021,1294,1749,53
United States,Sep 12 2021,1147,1716,19
United States,Sep 11 2021,1758,1736,0
United States,Sep 10 2021,2254,1701,49
United States,Sep  9 2021,2251,1656,6
United States,Sep  8 2021,2076,1624,58
United States,Sep  7 2021,1469,1613,87
United States,Sep  6 2021,1063,1654,15
United States,Sep  5 2021,1286,1676,49
United States,Sep  4 2021,1509,1658,0
United States,Sep  3 2021,1944,1653,28
United States,Sep  2 2021,2024,1635,16
United States,Sep  1 2021,1997,1598,36
United States,Aug 31 2021,1761,1549,50
United States,Aug 30 2021,1213,1535,35
United States,Aug 29 2021,1163,1523,33
United States,Aug 28 2021,1475,1485,0
United States,Aug 27 2021,1814,1443,42
United States,Aug 26 2021,1763,1408,31
United States,Aug 25 2021,1655,1352,17
United States,Aug 24 2021,1667,1329,4
United States,Aug 23 2021,1130,1262,77
United States,Aug 22 2021,894,1223,13
United States,Aug 21 2021,1180,1193,0
United States,Aug 20 2021,1572,1152,14
United States,Aug 19 2021,1366,1097,29
United States,Aug 18 2021,1496,1044,15
United States,Aug 17 2021,1202,917,0
United States,Aug 16 2021,854,883,8
United States,Aug 15 2021,682,866,0
United States,Aug 14 2021,895,844,0
United States,Aug 13 2021,1186,808,14
United States,Aug 12 2021,998,759,0
United States,Aug 11 2021,604,725,12
United States,Aug 10 2021,968,746,0
United States,Aug  9 2021,731,708,1
United States,Aug  8 2021,529,698,0
United States,Aug  7 2021,644,675,0
United States,Aug  6 2021,843,640,0
United States,Aug  5 2021,762,613,0
United States,Aug  4 2021,746,576,0
United States,Aug  3 2021,707,540,0
United States,Aug  2 2021,656,511,0
United States,Aug  1 2021,373,477,0
United States,Jul 31 2021,398,459,0
United States,Jul 30 2021,651,437,0
United States,Jul 29 2021,503,403,0
United States,Jul 28 2021,493,381,0
United States,Jul 27 2021,503,367,0
United States,Jul 26 2021,418,341,0
United States,Jul 25 2021,249,322,0
United States,Jul 24 2021,245,308,0
United States,Jul 23 2021,414,299,0
United States,Jul 22 2021,345,292,0
United States,Jul 21 2021,397,289,0
United States,Jul 20 2021,323,281,0
United States,Jul 19 2021,287,283,0
United States,Jul 18 2021,148,285,0
United States,Jul 17 2021,179,281,0
United States,Jul 16 2021,369,276,0
United States,Jul 15 2021,321,268,0
United States,Jul 14 2021,340,260,0
United States,Jul 13 2021,338,247,0
United States,Jul 12 2021,305,243,0
United States,Jul 11 2021,117,214,0
United States,Jul 10 2021,145,215,0
United States,Jul  9 2021,312,216,0
United States,Jul  8 2021,265,215,0
United States,Jul  7 2021,253,218,0
United States,Jul  6 2021,304,217,0
United States,Jul  5 2021,106,213,0
United States,Jul  4 2021,123,225,0
United States,Jul  3 2021,153,233,0
United States,Jul  2 2021,302,245,0
United States,Jul  1 2021,289,258,0
United States,Jun 30 2021,244,262,0
United States,Jun 29 2021,277,276,0
United States,Jun 28 2021,191,280,0
United States,Jun 27 2021,175,292,0
United States,Jun 26 2021,241,298,0
United States,Jun 25 2021,394,300,10
United States,Jun 24 2021,316,282,0
United States,Jun 23 2021,338,277,0
United States,Jun 22 2021,309,277,0
United States,Jun 21 2021,275,278,0
United States,Jun 20 2021,216,267,0
United States,Jun 19 2021,253,258,0
United States,Jun 18 2021,273,252,0
United States,Jun 17 2021,278,270,0
United States,Jun 16 2021,341,286,0
United States,Jun 15 2021,312,290,0
United States,Jun 14 2021,202,290,0
United States,Jun 13 2021,148,308,0
United States,Jun 12 2021,212,347,0
United States,Jun 11 2021,398,374,0
United States,Jun 10 2021,391,402,0
United States,Jun  9 2021,370,414,18
United States,Jun  8 2021,315,432,0
United States,Jun  7 2021,324,435,0
United States,Jun  6 2021,425,422,0
United States,Jun  5 2021,396,397,0
United States,Jun  4 2021,594,385,0
United States,Jun  3 2021,475,401,0
United States,Jun  2 2021,500,411,0
United States,Jun  1 2021,337,415,0
United States,May 31 2021,228,439,0
United States,May 30 2021,255,457,0
United States,May 29 2021,311,462,0
United States,May 28 2021,707,475,0
United States,May 27 2021,544,470,0
United States,May 26 2021,525,468,0
United States,May 25 2021,506,479,0
United States,May 24 2021,353,493,217
United States,May 23 2021,289,496,0
United States,May 22 2021,401,518,0
United States,May 21 2021,674,523,0
United States,May 20 2021,528,526,0
United States,May 19 2021,607,535,0
United States,May 18 2021,604,548,0
United States,May 17 2021,373,549,0
United States,May 16 2021,439,556,0
United States,May 15 2021,437,552,0
United States,May 14 2021,696,578,0
United States,May 13 2021,590,595,0
United States,May 12 2021,702,607,0
United States,May 11 2021,612,610,0
United States,May 10 2021,422,621,0
United States,May  9 2021,406,629,0
United States,May  8 2021,620,643,0
United States,May  7 2021,815,643,0
United States,May  6 2021,672,641,0
United States,May  5 2021,723,654,0
United States,May  4 2021,694,672,0
United States,May  3 2021,474,650,0
United States,May  2 2021,503,652,0
United States,May  1 2021,626,642,0
United States,Apr 30 2021,796,647,0
United States,Apr 29 2021,768,655,0
United States,Apr 28 2021,847,658,0
United States,Apr 27 2021,541,649,0
United States,Apr 26 2021,487,677,0
United States,Apr 25 2021,433,677,0
United States,Apr 24 2021,663,687,0
United States,Apr 23 2021,847,683,0
United States,Apr 22 2021,794,679,0
United States,Apr 21 2021,779,679,0
United States,Apr 20 2021,740,682,0
United States,Apr 19 2021,488,683,0
United States,Apr 18 2021,503,692,0
United States,Apr 17 2021,636,687,0
United States,Apr 16 2021,813,703,0
United States,Apr 15 2021,797,706,0
United States,Apr 14 2021,801,715,0
United States,Apr 13 2021,748,719,0
United States,Apr 12 2021,546,715,0
United States,Apr 11 2021,468,691,0
United States,Apr 10 2021,748,698,0
United States,Apr  9 2021,839,698,26
United States,Apr  8 2021,861,698,0
United States,Apr  7 2021,827,692,0
United States,Apr  6 2021,722,711,0
United States,Apr  5 2021,375,711,0
United States,Apr  4 2021,519,737,0
United States,Apr  3 2021,744,751,0
United States,Apr  2 2021,844,767,0
United States,Apr  1 2021,817,798,0
United States,Mar 31 2021,958,822,0
United States,Mar 30 2021,723,846,0
United States,Mar 29 2021,555,850,0
United States,Mar 28 2021,617,905,0
United States,Mar 27 2021,856,896,0
United States,Mar 26 2021,1061,877,0
United States,Mar 25 2021,989,894,0
United States,Mar 24 2021,1122,873,0
United States,Mar 23 2021,753,864,0
United States,Mar 22 2021,943,880,0
United States,Mar 21 2021,549,845,0
United States,Mar 20 2021,722,861,0
United States,Mar 19 2021,1186,897,0
United States,Mar 18 2021,840,912,0
United States,Mar 17 2021,1058,981,0
United States,Mar 16 2021,863,1056,0
United States,Mar 15 2021,699,1078,0
United States,Mar 14 2021,662,1096,0
United States,Mar 13 2021,976,1131,0
United States,Mar 12 2021,1287,1174,165
United States,Mar 11 2021,1325,1269,0
United States,Mar 10 2021,1581,1303,0
United States,Mar  9 2021,1019,1300,138
United States,Mar  8 2021,822,1348,0
United States,Mar  7 2021,913,1410,0
United States,Mar  6 2021,1272,1435,0
United States,Mar  5 2021,1956,1484,0
United States,Mar  4 2021,1560,1481,0
United States,Mar  3 2021,1558,1677,0
United States,Mar  2 2021,1356,1741,0
United States,Mar  1 2021,1258,1792,0
United States,Feb 28 2021,1089,1830,0
United States,Feb 27 2021,1613,1895,0
United States,Feb 26 2021,1934,1936,0
United States,Feb 25 2021,2936,2009,0
United States,Feb 24 2021,2007,1913,0
United States,Feb 23 2021,1709,1939,0
United States,Feb 22 2021,1524,1900,0
United States,Feb 21 2021,1546,1882,0
United States,Feb 20 2021,1896,1883,0
United States,Feb 19 2021,2450,1913,0
United States,Feb 18 2021,2260,1924,0
United States,Feb 17 2021,2194,2065,0
United States,Feb 16 2021,1431,2156,0
United States,Feb 15 2021,1399,2300,0
United States,Feb 14 2021,1554,2343,0
United States,Feb 13 2021,2109,2380,1204
United States,Feb 12 2021,2527,2475,2559
United States,Feb 11 2021,3246,2602,0
United States,Feb 10 2021,2830,2586,0
United States,Feb  9 2021,2440,2656,0
United States,Feb  8 2021,1698,2731,0
United States,Feb  7 2021,1811,2814,0
United States,Feb  6 2021,2775,2883,0
United States,Feb  5 2021,3418,2882,0
United States,Feb  4 2021,3132,2861,0
United States,Feb  3 2021,3318,2966,0
United States,Feb  2 2021,2968,3060,0
United States,Feb  1 2021,2279,3145,0
United States,Jan 31 2021,2294,3123,0
United States,Jan 30 2021,2769,3150,0
United States,Jan 29 2021,3270,3181,0
United States,Jan 28 2021,3864,3241,0
United States,Jan 27 2021,3981,3238,0
United States,Jan 26 2021,3559,3220,0
United States,Jan 25 2021,2129,3106,0
United States,Jan 24 2021,2483,3128,0
United States,Jan 23 2021,2987,3142,0
United States,Jan 22 2021,3688,3219,0
United States,Jan 21 2021,3839,3179,0
United States,Jan 20 2021,3860,3160,0
United States,Jan 19 2021,2758,3190,0
United States,Jan 18 2021,2286,3311,0
United States,Jan 17 2021,2577,3358,0
United States,Jan 16 2021,3528,3356,0
United States,Jan 15 2021,3406,3329,0
United States,Jan 14 2021,3708,3381,0
United States,Jan 13 2021,4072,3420,0
United States,Jan 12 2021,3602,3391,0
United States,Jan 11 2021,2619,3375,0
